Comment,Designator,Footprint,LCSC,Quantity
0,R7,R_0402_1005Metric,C881153,1
0.022uF,C8,C_0402_1005Metric,C107019,1
0.047uF,C7,C_0402_1005Metric,C285062,1
0.1uF,"C20,C22,C23",C_0402_1005Metric,C1525,3
0.1uF,"C2,C5,C9",C_0402_1005Metric,C85858,3
0.22uF,"C3,C6",C_0402_1005Metric,C696915,2
1.5k,R5,R_0402_1005Metric,C308014,1
10,"R1,R2,R3",R_0402_1005Metric,C176108,3
100,"R11,R9",R_0402_1005Metric,C82865,2
100k,R28,R_0603_1608Metric,C25803,1
100pF,"C1,C11",C_0402_1005Metric,C281751,2
1042,BT1,BAT_1042,C5249310,1
10k,"R22,R23,R4,R6",R_0603_1608Metric,C25804,4
10m,Rshunt1,R_1225_3264Metric,C304202,1
10uH,L3,L_1210_3225Metric,C22469024,1
120k,R26,R_0603_1608Metric,C25808,1
130k,R13,R_0402_1005Metric,C881362,1
16.2k,R16,R_0402_1005Metric,C27176,1
1uF,C4,R_0402_1005Metric,C29266,1
2.2uF,"C24,C25",C_0402_1005Metric,C12530,2
200k,R29,R_0402_1005Metric,C25811,1
20k,R14,R_0402_1005Metric,C5157652,1
220pF,C10,C_0402_1005Metric,C1530,1
22uF,"Cout1,Cout2,Cout3",C_1210_3225Metric,C2918511,3
22uF,"Cin1,Cin2,Cin3",C_1206_3216Metric,C87996,3
2m,RS1,R_1225_3264Metric,C7463342,1
4.7k,"R24,R25",R_0603_1608Metric,C23162,2
4.7uF,"Cin4,Cout6",C_0805_2012Metric,C107365,2
47,R8,R_0603_1608Metric,C23182,1
47k,R27,R_0402_1005Metric,C25819,1
49.9k,R10,R_0603_1608Metric,C23184,1
49.9k,R18,R_0402_1005Metric,C3008853,1
5.1k,"R20,R21",R_0603_1608Metric,C14677,2
5.49k,R15,R_0402_1005Metric,C407675,1
560pF,C14,C_0402_1005Metric,C107029,1
6.98k,R19,R_0402_1005Metric,C852901,1
"680nH, 23A, 30A Isat",L1,L_Chilisin_BMRF00101040,C2921223,1
68pF,C13,C_0402_1005Metric,C76977,1
ADS1015IDGS,U4,TSSOP-10_3x3mm_P0.5mm,C193969,1
"BASS516,115","D2,D3",D_SOD-523,C10037,2
BSC010NE2LSI,"Q1,Q2,Q3,Q4",TRANS_BSC010NE2LSI,C534282,4
ESP32-C6-MINI-1U,U5,MOD53_ESP32-C6-MINI-1U_EXP,C20627095,1
LM5175PWP,U1,HTSSOP-28-1EP_4.4x9.7mm_P0.65mm_EP3.4x9.5mm_ThermalVias,C113356,1
LMR62014XMF,U2,SOT-23-5,C468235,1
LP3986-30B3F,U6,SOT-23-3,C387690,1
MBR0520LT1G,D4,D_SOD-123,C23848,1
MCP4726,U3,SOT-23-6,C191581,1
SW_Push,"SW1,SW2",SW_TS-1088-AR02016,C720477,2
USB-C Receptacle 16P,J1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,C2765186,1
USBLC6-2SC6,U8,SOT-23-6,C7519,1
510 Power,J4,TestPoint_Pad_2.5x2.5mm,,1
510 Ground,J5,TestPoint_Pad_2.5x2.5mm,,1
Fire Button,J2,PinHeader_1x02_P2.54mm_Vertical,,1
"OLED 0.96"" Display",J3,PinHeader_1x08_P2.54mm_Vertical,,1
